timestamp,pid,process,current_kbps,avg_kbps,classification,resolved_host
2026-03-31 09:43:18,7212,msedge.exe,186.4,224.5,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:18,10704,code.exe,105.4,24.0,Light Web Browsing,0,
2026-03-31 09:43:20,10704,code.exe,174.7,51.0,Light Web Browsing,0,
2026-03-31 09:43:20,7212,msedge.exe,171.7,257.9,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:20,11556,chrome.exe,1.8,0.5,Web Browsing (Low traffic),0,
2026-03-31 09:43:22,5240,code.exe,21607.4,7344.0,Large File Download,0,
2026-03-31 09:43:22,7212,msedge.exe,2345.7,479.3,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:22,11556,chrome.exe,1.8,0.7,Web Browsing (Low traffic),0,
2026-03-31 09:43:24,7212,msedge.exe,174.1,538.5,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:24,10704,code.exe,7.2,49.1,Light Web Browsing,0,
2026-03-31 09:43:26,7212,msedge.exe,152.1,438.8,Cloud/Download (AWS),75,compute-1.amazonaws.com
2026-03-31 09:43:26,10704,code.exe,54.3,53.6,Light Web Browsing,0,
2026-03-31 09:43:28,7212,msedge.exe,117.0,486.9,Cloud/Download (AWS),79,compute-1.amazonaws.com
2026-03-31 09:43:30,7212,msedge.exe,7.4,452.5,Cloud/Download (AWS),98,compute-1.amazonaws.com
2026-03-31 09:43:32,10704,code.exe,40.2,26.7,Light Web Browsing,0,
2026-03-31 09:43:32,7212,msedge.exe,7.8,197.8,Cloud/Download (AWS),98,compute-1.amazonaws.com
2026-03-31 09:43:40,5240,code.exe,16431.5,7877.3,Large File Download,0,
2026-03-31 09:43:52,7212,msedge.exe,3807.0,380.9,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:52,1156,nvidia overlay.exe,1.7,0.3,Web Browsing (Low traffic),0,
2026-03-31 09:43:54,7212,msedge.exe,3.6,426.2,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:56,10704,code.exe,9.0,6.6,Web Browsing (Low traffic),0,
2026-03-31 09:44:00,10704,code.exe,7.2,11.3,Web Browsing (Low traffic),0,
2026-03-31 09:44:02,1156,nvidia overlay.exe,11.3,1.1,Web Browsing (Low traffic),0,
